Leading Gene names	Gene names	Protein names	Total Peptides	Unique peptides	Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mol. weight [kDa]	Sequence coverage [%]	Fold Change RNAi/CONTROL	p-value	LFQ intensity RNAi_1	Imputed (0=no/1=yes)	LFQ intensity RNAi_2	Imputed (0=no/1=yes)	LFQ intensity RNAi_3	Imputed (0=no/1=yes)	LFQ intensity Control_1	Imputed (0=no/1=yes)	LFQ intensity Control_2	Imputed (0=no/1=yes)	LFQ intensity Control_3	Imputed (0=no/1=yes)	GlyGly (K) site positions
MPHOSPH9	MPHOSPH9	M-phase phosphoprotein 9	2	2	Q99550-2;Q99550	Q99550-2;Q99550	2;2	2;2	2;2	132.61	2.5	0.67	2.1E-01	24.6492	1	24.7973	1	23.8855	1	25.0279	1	25.476	1	24.556	0	
FNDC3A	FNDC3A	Fibronectin type-III domain-containing protein 3A	4	4	Q9Y2H6-2;Q9Y2H6	Q9Y2H6-2;Q9Y2H6	4;4	4;4	4;4	125.82	4.6	1.96	3.7E-01	25.4341	1	25.8769	0	23.5854	1	24.3099	1	24.927	1	22.7462	1	
DIS3L	DIS3L	DIS3-like exonuclease 1	1	1	Q8TF46-3;Q8TF46-2;Q8TF46-4;Q8TF46	Q8TF46-3;Q8TF46-2;Q8TF46-4;Q8TF46	1;1;1;1	1;1;1;1	1;1;1;1	86.259	1.7	1.18	7.2E-01	23.4662	1	25.4912	0	24.0216	1	24.0346	1	23.8455	1	24.3702	1	
COLGALT1	COLGALT1	Procollagen galactosyltransferase 1	1	1	Q8NBJ5	Q8NBJ5	1	1	1	71.635	1.8	1.80	7.2E-02	24.2952	0	24.0489	1	25.1109	1	23.4027	1	23.8703	1	23.6392	1	
MT-CO3	MT-CO3	Cytochrome c oxidase subunit 3	1	1	P00414	P00414	1	1	1	29.95	5.4	0.71	1.7E-01	23.7804	1	24.6072	1	24.5636	0	24.7386	0	25.0796	1	24.6287	0	
SCOC	SCOC	Short coiled-coil protein	1	1	Q9UIL1-3;Q9UIL1-2;Q9UIL1	Q9UIL1-3;Q9UIL1-2;Q9UIL1	1;1;1	1;1;1	1;1;1	13.857	14.9	1.28	4.3E-01	24.697	1	24.2246	1	23.9457	1	23.4368	1	23.7982	1	24.5777	0	
GCLC	GCLC	Glutamate--cysteine ligase catalytic subunit	2	2	P48506	P48506	2	2	2	72.765	3	0.88	6.3E-01	23.8148	1	24.1086	1	24.7164	1	23.9519	1	24.8039	1	24.4453	0	
TRAPPC3	TRAPPC3	Trafficking protein particle complex subunit 3	2	2	O43617;O43617-2	O43617;O43617-2	2;1	2;1	2;1	20.274	11.7	0.91	7.2E-01	23.7957	1	24.7111	1	24.1602	1	24.6227	1	24.6213	1	23.8536	0	
FAM84B	FAM84B	Protein FAM84B	2	2	Q96KN1	Q96KN1	2	2	2	34.474	8.1	1.38	5.0E-01	25.4226	0	23.5712	1	23.7794	1	23.4621	1	24.2712	1	23.6468	1	
YY1AP1	YY1AP1	YY1-associated protein 1	4	2	Q9H869-6;Q9H869-4;Q9H869-3;Q9H869-2;Q9H869;Q9H869-8;Q9H869-9;Q9H869-7;Q9H869-5	Q9H869-6;Q9H869-4;Q9H869-3;Q9H869-2;Q9H869;Q9H869-8;Q9H869-9;Q9H869-7;Q9H869-5	4;4;4;4;4;4;4;2;2	4;4;4;4;4;4;4;2;2	2;2;2;2;2;2;2;2;2	79.507	5	1.15	7.5E-01	24.4096	1	24.8124	1	23.4481	0	24.197	1	23.2487	1	24.6258	0	
TTC39B	TTC39B	Tetratricopeptide repeat protein 39B	2	2	Q5VTQ0-5;Q5VTQ0-2;Q5VTQ0-6;Q5VTQ0-3;Q5VTQ0-4;Q5VTQ0	Q5VTQ0-5;Q5VTQ0-2;Q5VTQ0-6;Q5VTQ0-3;Q5VTQ0-4;Q5VTQ0	2;2;2;2;2;2	2;2;2;2;2;2	2;2;2;2;2;2	59.464	4.6	0.68	3.4E-01	22.4986	1	24.1078	1	23.3713	1	23.4566	1	24.0121	1	24.1849	0	
ZFHX4	ZFHX4	Zinc finger homeobox protein 4	5	5	Q86UP3-2;Q86UP3-5;Q86UP3;Q86UP3-4;Q86UP3-3	Q86UP3-2;Q86UP3-5;Q86UP3;Q86UP3-4	5;5;4;4;1	5;5;4;4;1	5;5;4;4;1	397.31	1.9	0.75	5.1E-01	23.8944	1	24.7084	1	23.8706	0	25.0169	1	23.559	1	25.1323	0	
RAB8B	RAB8B	Ras-related protein Rab-8B	3	1	Q92930	Q92930	3	1	1	23.584	15	1.03	9.4E-01	24.2177	1	23.9941	1	23.4829	1	22.975	0	23.7683	1	24.8228	0	
SNAPC1	SNAPC1	snRNA-activating protein complex subunit 1	1	1	Q16533	Q16533	1	1	1	42.994	4.3	1.28	4.4E-01	24.1519	1	24.1469	1	23.984	1	23.4923	1	24.5463	0	23.1767	1	
SH3GL3	SH3GL3	Endophilin-A3	2	2	Q99963-2;Q99963-4;Q99963;Q99963-3	Q99963-2;Q99963-4;Q99963;Q99963-3	2;2;2;2	2;2;2;2	2;2;2;2	31.586	7.9	1.32	4.2E-01	24.0035	1	23.6253	1	24.5711	1	24.3337	0	23.4789	1	23.2001	1	
CDCA2	CDCA2	Cell division cycle-associated protein 2	1	1	Q69YH5	Q69YH5	1	1	1	112.68	1.3	1.31	5.2E-01	24.7148	1	24.8779	1	24.3302	1	24.8852	1	23.2085	1	24.6658	0	
IFT122	IFT122	Intraflagellar transport protein 122 homolog	1	1	Q9HBG6-11;Q9HBG6-7;Q9HBG6-10;Q9HBG6-8;Q9HBG6-9;Q9HBG6-4;Q9HBG6-3;Q9HBG6-6;Q9HBG6;Q9HBG6-5	Q9HBG6-11;Q9HBG6-7;Q9HBG6-10;Q9HBG6-8;Q9HBG6-9;Q9HBG6-4;Q9HBG6-3;Q9HBG6-6;Q9HBG6;Q9HBG6-5	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	113.23	1.8	1.52	2.2E-01	24.8314	1	24.4861	1	25.693	1	24.0095	1	24.7424	1	24.4473	0	
ZMYND11	ZMYND11	Zinc finger MYND domain-containing protein 11	2	2	Q15326-4;Q15326-5;Q15326-2;Q15326-6;Q15326-3;Q15326	Q15326-4;Q15326-5;Q15326-2;Q15326-6;Q15326-3;Q15326	2;2;2;2;2;2	2;2;2;2;2;2	2;2;2;2;2;2	60.052	4.9	1.38	5.2E-01	23.4069	1	24.5351	1	25.5286	0	23.5435	1	24.0201	1	24.4978	1	
KLRG2	KLRG2	Killer cell lectin-like receptor subfamily G member 2	2	2	A4D1S0-2;A4D1S0	A4D1S0-2;A4D1S0	2;2	2;2	2;2	32.212	9.6	1.29	3.8E-01	24.1058	1	23.5893	1	24.495	1	23.2444	0	24.1216	1	23.7381	1	
SECISBP2	SECISBP2	Selenocysteine insertion sequence-binding protein 2	1	1	Q96T21-2;Q96T21-3;Q96T21	Q96T21-2;Q96T21-3;Q96T21	1;1;1	1;1;1	1;1;1	87.392	1.8	0.61	2.9E-01	24.6573	1	23.4082	1	22.788	1	24.6921	1	24.3439	0	23.9698	1	
KDM4B	KDM4B	Lysine-specific demethylase 4B	3	3	O94953;O94953-2	O94953	3;1	3;1	3;1	121.9	3	0.69	2.1E-01	24.2132	1	23.6367	0	23.6367	1	23.8875	1	24.2864	1	24.9168	1	
LMAN2L	LMAN2L	VIP36-like protein	2	2	Q9H0V9-3;Q9H0V9;Q9H0V9-2	Q9H0V9-3;Q9H0V9;Q9H0V9-2	2;2;2	2;2;2	2;2;2	24.711	8.9	1.38	6.7E-01	24.5905	1	22.7371	1	24.9559	1	25.0549	1	23.0764	1	22.7712	0	
S100A10	S100A10	Protein S100-A10	2	2	P60903	P60903	2	2	2	11.203	35.1	1.45	4.8E-01	24.9119	1	25.2265	1	23.8089	1	23.1317	1	24.221	0	24.9853	1	
DIEXF	DIEXF	Digestive organ expansion factor homolog	2	2	Q68CQ4	Q68CQ4	2	2	2	87.054	2.8	1.84	1.3E-01	25.3626	1	24.4616	1	24.0321	1	23.9134	1	24.0324	1	23.2687	0	
ZWINT	ZWINT	ZW10 interactor	8	1	O95229-2	O95229-2	8	1	1	25.544	49.6	1.49	5.2E-01	23.5549	1	25.9032	1	24.3707	1	24.3974	1	23.1481	1	24.5457	0	111
ANAPC4	ANAPC4	Anaphase-promoting complex subunit 4	2	2	Q9UJX5;Q9UJX5-3;Q9UJX5-2	Q9UJX5;Q9UJX5-3;Q9UJX5-2	2;2;1	2;2;1	2;2;1	92.115	2.7	0.72	3.1E-01	23.697	1	24.0612	1	25.0012	1	24.9005	1	24.7279	0	24.5369	1	
CTSH	CTSH	Pro-cathepsin H;Cathepsin H mini chain;Cathepsin H;Cathepsin H heavy chain;Cathepsin H light chain	1	1	P09668	P09668	1	1	1	37.393	3.9	0.88	8.3E-01	23.7605	1	25.8548	1	23.816	1	25.1321	0	23.8113	1	25.0438	1	
USP12	USP12	Ubiquitin carboxyl-terminal hydrolase 12	3	1	O75317	O75317	3	1	1	42.857	10.5	1.40	2.6E-01	24.182	1	24.5156	1	24.8324	1	23.6008	0	23.843	1	24.6394	1	
H1F0	H1F0	Histone H1.0;Histone H1.0, N-terminally processed	3	3	P07305;P07305-2	P07305	3;1	3;1	3;1	20.863	13.9	0.91	8.0E-01	24.5632	1	23.2057	1	24.3342	0	24.636	1	23.5749	1	24.312	0	
CXXC1	CXXC1	CXXC-type zinc finger protein 1	2	2	Q9P0U4;Q9P0U4-2	Q9P0U4;Q9P0U4-2	2;2	2;2	2;2	75.711	3.8	1.28	6.4E-01	23.9935	1	25.6517	1	23.3816	1	23.8836	1	23.7878	0	24.2906	1	
C1GALT1C1	C1GALT1C1	C1GALT1-specific chaperone 1	2	2	Q96EU7	Q96EU7	2	2	2	36.382	6.6	0.48	1.2E-01	22.8663	1	23.8228	1	24.3213	1	25.3453	1	24.7001	1	24.1579	0	
HNRNPR	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	22	1	O43390-2;O43390-4	O43390-2;O43390-4	22;20	1;1	1;1	71.214	38.4	0.56	1.2E-01	23.4132	1	24.0646	1	24.5075	1	25.1865	0	24.2905	1	25.0159	1	362
SCML2	SCML2	Sex comb on midleg-like protein 2	2	2	Q9UQR0	Q9UQR0	2	2	2	77.256	4.1	0.86	2.9E-01	24.1282	0	24.5583	1	24.2798	1	24.6849	0	24.2812	1	24.6648	1	
OGFR	OGFR	Opioid growth factor receptor	1	1	Q9NZT2-2;Q9NZT2	Q9NZT2-2;Q9NZT2	1;1	1;1	1;1	71.423	3	0.70	4.7E-01	23.6036	1	24.2119	0	24.1907	1	23.3965	1	24.6107	0	25.5494	1	
IREB2	IREB2	Iron-responsive element-binding protein 2	2	2	P48200	P48200	2	2	2	105.04	2.3	1.02	9.6E-01	24.1062	1	23.931	1	25.2518	1	24.7185	1	24.649	0	23.8321	1	483;485
STARD3NL	STARD3NL	MLN64 N-terminal domain homolog	4	1	O95772	O95772	4	1	1	26.654	24.4	0.48	1.1E-01	22.8325	1	24.1954	1	24.4605	1	25.0101	1	25.0276	0	24.6503	1	
TPP2	TPP2	Tripeptidyl-peptidase 2	3	3	P29144	P29144	3	3	3	138.35	2.5	1.38	2.9E-01	23.7802	1	23.883	1	24.9578	1	23.6848	1	23.8057	1	23.7393	0	
BCORL1	BCORL1	BCL-6 corepressor-like protein 1	5	3	Q5H9F3-3;Q5H9F3-2;Q5H9F3	Q5H9F3-3	5;2;2	3;2;2	3;2;2	190.59	3.1	0.57	2.1E-01	23.9767	1	22.9839	1	24.8091	1	24.7847	0	24.5157	1	24.923	1	1493
MON1B	MON1B	Vacuolar fusion protein MON1 homolog B	1	1	Q7L1V2-2;Q7L1V2	Q7L1V2-2;Q7L1V2	1;1	1;1	1;1	44.195	3.2	1.32	5.4E-01	24.6244	1	23.858	1	24.6955	1	22.9409	1	24.6809	0	24.3483	1	
TRMT11	TRMT11	tRNA (guanine(10)-N2)-methyltransferase homolog	1	1	Q7Z4G4-3;Q7Z4G4-2;Q7Z4G4	Q7Z4G4-3;Q7Z4G4-2;Q7Z4G4	1;1;1	1;1;1	1;1;1	29.192	5.8	1.20	6.0E-01	23.8966	1	24.5533	1	23.2277	0	23.298	1	23.4833	1	24.1184	1	
SLC35F6	SLC35F6	Solute carrier family 35 member F6	1	1	Q8N357	Q8N357	1	1	1	40.214	3.2	1.28	6.8E-01	23.7192	1	25.1034	1	23.3663	1	24.8865	0	23.4752	1	22.742	1	
UNG	UNG	Uracil-DNA glycosylase	1	1	P13051-2;P13051	P13051-2;P13051	1;1	1;1	1;1	33.924	5.3	0.52	1.0E-01	23.8482	1	23.2988	1	24.5589	1	24.689	1	25.3792	1	24.4874	0	
S100PBP	S100PBP	S100P-binding protein	2	2	Q96BU1-2;Q96BU1	Q96BU1-2;Q96BU1	2;2	2;2	2;2	37.451	11.7	0.81	4.3E-01	23.7387	1	23.8989	1	24.4189	1	23.7801	1	24.4206	0	24.7908	1	
FAM135A	FAM135A	Protein FAM135A	1	1	Q9P2D6-3;Q9P2D6-2;Q9P2D6-4;Q9P2D6	Q9P2D6-3;Q9P2D6-2;Q9P2D6-4;Q9P2D6	1;1;1;1	1;1;1;1	1;1;1;1	146.55	0.8	0.55	2.7E-01	23.9404	1	24.7427	0	24.2076	1	25.1685	1	26.2381	1	24.0539	1	
SRBD1	SRBD1	S1 RNA-binding domain-containing protein 1	1	1	Q8N5C6-2;Q8N5C6	Q8N5C6-2;Q8N5C6	1;1	1;1	1;1	69.713	1.9	0.96	9.2E-01	25.1449	1	24.392	1	23.2279	1	23.862	0	24.9866	1	24.1134	1	
SDK2	SDK2	Protein sidekick-2	3	3	Q58EX2-3;Q58EX2;Q58EX2-4;Q58EX2-2	Q58EX2-3;Q58EX2;Q58EX2-4;Q58EX2-2	3;3;3;2	3;3;3;2	3;3;3;2	237.17	1.7	0.54	1.0E-01	23.8203	1	23.2083	1	24.4392	0	24.2529	1	24.8864	1	25.0265	0	
KRTAP11-1	KRTAP11-1	Keratin-associated protein 11-1	1	1	Q8IUC1	Q8IUC1	1	1	1	17.085	6.7	1.40	5.0E-01	23.7785	1	24.4707	1	25.1411	0	24.9127	1	23.8958	1	23.1229	1	
MAP4K3	MAP4K3	Mitogen-activated protein kinase kinase kinase kinase 3	1	1	Q8IVH8-3;Q8IVH8-2;Q8IVH8	Q8IVH8-3;Q8IVH8-2;Q8IVH8	1;1;1	1;1;1	1;1;1	98.953	1.9	0.88	8.0E-01	23.8973	1	23.4967	0	24.7709	1	25.2842	1	23.3859	1	24.0501	1	
SUV39H2	SUV39H2	Histone-lysine N-methyltransferase SUV39H2	1	1	Q9H5I1-3;Q9H5I1-2;Q9H5I1	Q9H5I1-3;Q9H5I1-2;Q9H5I1	1;1;1	1;1;1	1;1;1	26.349	7	1.30	4.8E-01	24.6871	1	23.806	1	23.9231	1	23.0596	1	23.7238	0	24.4825	1	
MAP3K4	MAP3K4	Mitogen-activated protein kinase kinase kinase 4	1	1	Q9Y6R4-2;Q9Y6R4	Q9Y6R4-2;Q9Y6R4	1;1	1;1	1;1	177.01	0.8	1.33	2.8E-01	24.4699	1	23.7707	0	24.6828	1	24.1159	1	24.0298	1	23.5461	1	
ZBTB1	ZBTB1	Zinc finger and BTB domain-containing protein 1	1	1	Q9Y2K1-2;Q9Y2K1	Q9Y2K1-2;Q9Y2K1	1;1	1;1	1;1	73.682	2.6	1.25	4.8E-01	24.1543	1	24.0866	1	24.4366	1	24.7044	1	23.5498	1	23.4669	0	
SMG6	SMG6	Telomerase-binding protein EST1A	2	2	Q86US8	Q86US8	2	2	2	160.46	1.9	0.63	7.1E-02	23.7354	1	24.0049	1	24.4151	1	25.0837	1	24.5656	0	24.495	1	
ITFG2	ITFG2	Integrin-alpha FG-GAP repeat-containing protein 2	2	2	Q969R8	Q969R8	2	2	2	49.312	5.4	0.99	9.8E-01	21.8561	0	23.2456	1	24.4409	1	23.1955	1	23.6924	1	22.7039	1	
ZC3H7B	ZC3H7B	Zinc finger CCCH domain-containing protein 7B	2	2	Q9UGR2-2;Q9UGR2	Q9UGR2-2;Q9UGR2	2;2	2;2	2;2	109.86	2.7	0.84	3.0E-01	24.9535	1	24.4458	1	24.8399	0	24.7768	1	24.939	1	25.2762	1	
SLC39A10	SLC39A10	Zinc transporter ZIP10	2	2	Q9ULF5-2;Q9ULF5	Q9ULF5-2;Q9ULF5	2;2	2;2	2;2	42.363	5.2	0.67	9.0E-02	24.4878	1	24.5517	1	23.7866	1	25.0495	1	24.7346	1	24.7989	0	
GSE1	GSE1	Genetic suppressor element 1	2	2	Q14687-2;Q14687-3;Q14687	Q14687-2;Q14687-3;Q14687	2;2;2	2;2;2	2;2;2	125.84	2.5	0.50	4.6E-01	22.617	0	23.8232	1	23.3445	1	24.8694	1	25.9031	1	21.989	1	
MTMR12	MTMR12	Myotubularin-related protein 12	2	2	Q9C0I1-3;Q9C0I1-2;Q9C0I1	Q9C0I1-3;Q9C0I1-2;Q9C0I1	2;2;2	2;2;2	2;2;2	73.231	3.5	1.89	1.5E-01	24.007	1	24.6102	1	25.4183	1	23.7801	1	24.3142	0	23.1806	1	
SYNRG	SYNRG	Synergin gamma	2	2	Q9UMZ2-6;Q9UMZ2-9;Q9UMZ2-4;Q9UMZ2-8;Q9UMZ2-3;Q9UMZ2-7;Q9UMZ2-5;Q9UMZ2	Q9UMZ2-6;Q9UMZ2-9;Q9UMZ2-4;Q9UMZ2-8;Q9UMZ2-3;Q9UMZ2-7;Q9UMZ2-5;Q9UMZ2	2;2;2;2;2;2;2;2	2;2;2;2;2;2;2;2	2;2;2;2;2;2;2;2	119.51	1.9	1.69	2.6E-01	24.8565	1	25.0268	0	23.2919	1	23.5181	1	23.4079	1	23.9821	1	
TRIP12	TRIP12	E3 ubiquitin-protein ligase TRIP12	49	1	Q14669-3	Q14669-3	49	1	1	225.52	31.8	1.24	7.2E-01	24.2047	1	25.7019	1	23.3516	1	24.8921	1	23.5212	1	23.9062	0	
TTC9	TTC9	Tetratricopeptide repeat protein 9A	1	1	Q92623	Q92623	1	1	1	24.379	5	1.03	9.7E-01	24.6898	1	23.0621	1	25.407	1	24.1769	1	25.3701	1	23.4909	0	
LEO1	LEO1	RNA polymerase-associated protein LEO1	1	1	Q8WVC0-2;Q8WVC0	Q8WVC0-2;Q8WVC0	1;1	1;1	1;1	68.003	2.3	1.48	4.2E-01	23.6224	1	24.3793	1	23.5478	0	24.384	1	23.0388	1	22.4407	1	
CFL2	CFL2	Cofilin-2	6	2	Q9Y281-3;Q9Y281	Q9Y281-3;Q9Y281	6;6	2;2	2;2	16.916	38.9	1.14	6.7E-01	25.045	1	25.1301	1	23.8684	0	24.5095	1	24.3086	1	24.6472	1	95;97
LEMD2	LEMD2	LEM domain-containing protein 2	2	2	Q8NC56;Q8NC56-2	Q8NC56;Q8NC56-2	2;1	2;1	2;1	56.974	5.8	0.98	9.4E-01	23.4397	1	24.3991	1	23.3461	0	23.9486	1	23.5663	1	23.761	1	
GOLGA1	GOLGA1	Golgin subfamily A member 1	2	2	Q92805	Q92805	2	2	2	88.183	2.6	1.80	2.7E-01	24.9895	1	25.0562	1	23.6698	1	24.6233	1	22.9632	0	23.5739	1	
ATG2B	ATG2B	Autophagy-related protein 2 homolog B	3	3	Q96BY7	Q96BY7	3	3	3	232.76	1.4	1.93	1.2E-01	24.6081	1	24.7357	1	24.1795	1	24.2268	1	23.7666	1	22.6936	0	
PPP1R8	PPP1R8	Nuclear inhibitor of protein phosphatase 1;Activator of RNA decay	1	1	Q12972	Q12972	1	1	1	38.478	5.1	1.54	3.4E-01	24.3795	1	23.4021	1	23.9012	1	22.9989	1	24.2565	0	22.5519	1	
SCAP	SCAP	Sterol regulatory element-binding protein cleavage-activating protein	2	2	Q12770-4;Q12770-2;Q12770;Q12770-3	Q12770-4;Q12770-2;Q12770;Q12770-3	2;2;2;1	2;2;2;1	2;2;2;1	95.615	2.7	1.06	8.1E-01	23.7462	1	24.5855	1	24.1734	1	24.2839	1	23.6613	0	24.3174	1	
KBTBD6	KBTBD6	Kelch repeat and BTB domain-containing protein 6	3	3	Q86V97	Q86V97	3	3	3	76.137	4.3	1.20	6.2E-01	23.8694	1	24.5933	1	24.9701	1	24.947	1	23.8544	0	23.852	1	
WDR35	WDR35	WD repeat-containing protein 35	2	2	Q9P2L0-2;Q9P2L0	Q9P2L0-2;Q9P2L0	2;2	2;2	2;2	132.31	1.8	1.01	9.9E-01	22.0458	1	22.9954	1	25.6601	1	22.8223	1	23.7644	0	24.0617	1	
RNF217	RNF217	Probable E3 ubiquitin-protein ligase RNF217	2	2	Q8TC41;Q8TC41-2	Q8TC41;Q8TC41-2	2;1	2;1	2;1	59.371	4.4	1.11	8.4E-01	25.0541	1	24.2885	0	24.0066	1	23.0301	1	24.7816	1	25.0722	1	
CYC1	CYC1	Cytochrome c1, heme protein, mitochondrial	1	1	P08574	P08574	1	1	1	35.422	3.7	1.23	4.5E-01	24.3746	1	24.1858	1	23.5072	1	24.2028	1	23.5951	0	23.37	1	
SRSF10	SRSF10	Serine/arginine-rich splicing factor 10	1	1	O75494-5;O75494-4;O75494-6;O75494-3;O75494-2;O75494	O75494-5;O75494-4;O75494-6;O75494-3;O75494-2;O75494	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	20.117	9.7	1.41	4.9E-01	24.3647	1	24.8086	1	24.226	0	24.7215	1	22.7116	1	24.4738	1	
NOVA1	NOVA1;NOVA2	RNA-binding protein Nova-1;RNA-binding protein Nova-2	1	1	P51513-5;P51513-3;Q9UNW9;P51513-4;P51513	P51513-5;P51513-3;Q9UNW9;P51513-4;P51513	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	49.252	2.5	1.40	6.8E-01	25.6917	1	25.0395	1	22.4822	1	24.3778	0	24.4044	1	22.9667	1	
EED	EED	Polycomb protein EED	3	3	O75530-3;O75530;O75530-2	O75530-3;O75530;O75530-2	3;3;3	3;3;3	3;3;3	45.524	10.2	0.98	9.3E-01	24.0661	1	23.9543	1	24.3802	1	24.0305	1	24.6037	1	23.8352	0	
CEP162	CEP162	Centrosomal protein of 162 kDa	2	2	Q5TB80-2;Q5TB80	Q5TB80-2;Q5TB80	2;2	2;2	2;2	153.06	1.9	1.25	5.4E-01	24.1293	1	24.824	1	24.3062	1	24.7627	1	23.2963	1	24.2394	0	
FGA	FGA	Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain	2	2	P02671-2;P02671	P02671-2;P02671	2;2	2;2	2;2	69.756	4.5	1.34	5.0E-01	24.5577	0	23.6781	1	24.8128	1	23.5666	0	24.8323	1	23.3899	1	
CRK	CRK	Adapter molecule crk	1	1	P46108-2;P46108	P46108-2;P46108	1;1	1;1	1;1	22.905	5.4	0.68	3.5E-01	24.1112	1	24.0081	0	22.9124	1	24.7576	1	24.3699	1	23.5633	1	
DIDO1	DIDO1	Death-inducer obliterator 1	2	2	Q9BTC0;Q9BTC0-1	Q9BTC0;Q9BTC0-1	2;1	2;1	2;1	243.87	1.4	1.31	2.9E-01	24.1948	1	24.3948	1	23.7453	1	23.406	1	23.5105	0	24.2387	1	
ZNFX1	ZNFX1	NFX1-type zinc finger-containing protein 1	1	1	Q9P2E3	Q9P2E3	1	1	1	220.22	0.7	0.96	8.9E-01	24.3715	1	23.7108	1	24.6214	1	24.716	1	24.2571	0	23.8957	1	
ATM	ATM	Serine-protein kinase ATM	2	2	Q13315	Q13315	2	2	2	350.68	0.7	1.45	4.3E-01	23.0895	1	24.5528	1	24.9401	1	23.6226	1	24.079	1	23.2765	0	
RNF135	RNF135	E3 ubiquitin-protein ligase RNF135	1	1	Q8IUD6	Q8IUD6	1	1	1	47.888	2.8	1.50	4.1E-01	24.9354	1	23.623	1	24.238	1	24.7111	0	23.0886	1	23.2419	1	
ARF5	ARF5	ADP-ribosylation factor 5	5	1	P84085	P84085	5	1	1	20.529	38.9	1.87	1.2E-01	24.6037	1	23.9475	1	24.9161	0	24.1853	1	22.9346	1	23.6431	1	
COMMD3	COMMD3	COMM domain-containing protein 3	2	2	Q9UBI1	Q9UBI1	2	2	2	22.151	12.3	0.62	3.0E-01	24.042	1	23.96	1	24.2046	0	25.6331	1	23.6722	1	24.9722	1	
HIVEP2	HIVEP2	Transcription factor HIVEP2	2	2	P31629	P31629	2	2	2	269.05	1.8	0.60	9.9E-02	23.7585	1	23.5973	1	23.8371	1	24.0826	1	24.1952	1	25.162	0	
PAAF1	PAAF1	Proteasomal ATPase-associated factor 1	2	2	Q9BRP4-2;Q9BRP4;Q9BRP4-3	Q9BRP4-2;Q9BRP4;Q9BRP4-3	2;2;1	2;2;1	2;2;1	40.439	6.4	0.89	6.5E-01	24.3514	1	23.7112	1	24.199	1	23.6852	1	24.669	1	24.4251	0	
ZDHHC18	ZDHHC18	Palmitoyltransferase ZDHHC18	1	1	Q9NUE0-2;Q9NUE0	Q9NUE0-2;Q9NUE0	1;1	1;1	1;1	27.94	5.9	0.84	8.1E-01	22.3645	1	25.5763	1	23.6098	1	23.6042	0	24.3116	1	24.385	1	
RBM42	RBM42	RNA-binding protein 42	1	1	Q9BTD8-4;Q9BTD8-2;Q9BTD8-3;Q9BTD8	Q9BTD8-4;Q9BTD8-2;Q9BTD8-3;Q9BTD8	1;1;1;1	1;1;1;1	1;1;1;1	47.025	2.2	0.81	6.6E-01	23.579	1	25.1265	1	24.0086	1	25.127	1	24.7752	1	23.7114	0	
SCAF8	SCAF8	Protein SCAF8	4	2	Q9UPN6;Q9UPN6-2	Q9UPN6;Q9UPN6-2	4;4	2;2	2;2	140.52	3.5	0.72	2.6E-01	24.081	1	23.7965	0	23.2098	1	24.3806	1	23.6513	1	24.4865	1	
AHSA2	AHSA2	Activator of 90 kDa heat shock protein ATPase homolog 2	2	2	Q719I0	Q719I0	2	2	2	33.806	7.4	1.07	8.8E-01	23.6963	1	24.6973	1	24.2363	1	24.8649	0	24.4166	1	23.0466	1	126;133;137
KRT18	KRT18	Keratin, type I cytoskeletal 18	4	2	P05783	P05783	4	2	2	48.057	10.7	1.24	6.8E-01	25.2453	1	24.87	0	23.5156	1	25.064	1	23.4162	1	24.2173	1	
SIPA1L2	SIPA1L2	Signal-induced proliferation-associated 1-like protein 2	2	2	Q9P2F8	Q9P2F8	2	2	2	190.44	1.4	1.09	8.1E-01	23.5765	1	24.9166	1	24.0262	1	23.8021	0	24.6012	1	23.7345	1	
ZFYVE28	ZFYVE28	Lateral signaling target protein 2 homolog	2	2	Q9HCC9-5;Q9HCC9-4;Q9HCC9-3;Q9HCC9-2;Q9HCC9	Q9HCC9-5;Q9HCC9-4;Q9HCC9-3;Q9HCC9-2;Q9HCC9	2;2;2;2;2	2;2;2;2;2	2;2;2;2;2	83.197	3.6	0.72	3.0E-01	23.0214	1	22.9569	1	23.9369	1	23.5834	0	24.2203	1	23.5097	1	
ZNF106	ZNF106	Zinc finger protein 106	2	2	Q9H2Y7;Q9H2Y7-2	Q9H2Y7;Q9H2Y7-2	2;1	2;1	2;1	208.88	1.5	1.04	9.4E-01	25.8663	1	23.4714	1	23.9738	1	24.1612	1	24.6812	0	24.2799	1	
SSH3	SSH3	Protein phosphatase Slingshot homolog 3	2	2	Q8TE77-3;Q8TE77;Q8TE77-5;Q8TE77-2	Q8TE77-3;Q8TE77;Q8TE77-5;Q8TE77-2	2;2;1;1	2;2;1;1	2;2;1;1	56.981	4.3	0.91	8.4E-01	23.298	0	23.5999	1	24.645	1	23.5436	1	24.9868	1	23.4417	1	
